,Hugo_Symbol,Entrez_Gene_Id,normality,p,stat,expressed,fdr_hypothesis,fdr,corrected
6194,LZTS2,84445,NOT,0.40060209941233316,528.0,False,False,0.4427639966313535,False
6195,TPSD1,23430,NOT,8.031090907046913e-10,1.0,True,True,1.093136886055739e-08,False
6196,SHOX2,6474,NOT,9.06805772149548e-10,3.0,True,True,1.093136886055739e-08,False
6197,GCDH,2639,NORMAL,0.004748997791731916,345.0,True,True,0.007049835597849003,False
6198,PAN2,9924,NOT,0.425802198406505,555.0,False,False,0.4678029113121581,False
6199,GTF3C3,9330,NOT,2.9937649854285763e-09,23.0,True,True,1.8583287863197503e-08,False
6200,PPAPDC2,403313,NOT,0.16304636856443988,493.0,False,False,0.19399896613280815,False
6201,DNMT1,1786,NOT,9.63065645576518e-07,130.0,True,True,2.5021746168347647e-06,False
6202,DDX11,1663,NOT,9.06805772149548e-10,3.0,True,True,1.093136886055739e-08,False
6203,LRIF1,55791,NOT,3.920086785268383e-07,112.0,True,True,1.1045424761949327e-06,False
6204,DYNC1I2,1781,NOT,0.521130029090842,548.0,False,False,0.561747520884412,False
6205,UBE4A,9354,NOT,0.0003887877875099616,270.0,True,True,0.0006704910681076756,False
6206,SYDE2,84144,NOT,1.2648972427105204e-08,48.0,True,True,5.6302969903678055e-08,False
6207,TMEM140,55281,NOT,3.366814035344517e-09,25.0,True,True,2.0300772237548528e-08,False
6208,TSTA3,7264,NOT,1.1713353361032e-06,134.0,True,True,3.0008628104972235e-06,False
6209,GRIA1,2890,NOT,7.556929455863566e-10,0.0,True,True,1.093136886055739e-08,False
6210,SNRPC,6631,NOT,1.8763155422279055e-08,55.0,True,True,7.644658252827138e-08,False
6211,MELK,9833,NOT,8.031090907046913e-10,1.0,True,True,1.093136886055739e-08,False
6212,ARMC10,83787,NOT,1.067954707357515e-08,45.0,True,True,4.917088904477897e-08,False
6213,TNFRSF1A,7132,NOT,0.011591827294833556,376.0,True,True,0.01638429197498361,False
6214,PROSER2,254427,NOT,0.7245797902868737,601.0,False,False,0.7539977035844674,False
6215,HS2ST1,9653,NOT,0.25265950227055756,519.0,False,False,0.29065012330850915,False
6216,EXOC6B,23233,NORMAL,3.091834047007052e-08,64.0,True,True,1.1664431789047133e-07,False
6217,NUDCD3,23386,NOT,0.9010451411117566,600.0,False,False,0.9138469331712321,False
6218,COL25A1,84570,NOT,0.00021387932103272543,254.0,True,True,0.00038275823794057097,False
6219,TMOD1,7111,NOT,1.1548334686261787e-09,7.0,True,True,1.093136886055739e-08,False
6220,FGR,2268,NOT,8.031090907046913e-10,1.0,True,True,1.093136886055739e-08,False
6221,ULBP2,80328,NOT,7.784669528923821e-08,81.0,True,True,2.6092387681831394e-07,False
6222,RNF130,55819,NORMAL,9.634403725281619e-10,4.0,True,True,1.093136886055739e-08,False
6223,FAM13C,220965,NOT,7.556929455863566e-10,0.0,True,True,1.093136886055739e-08,False
6224,MINOS1-NBL1,4681,NOT,0.0002683158388853629,260.0,True,True,0.0004731199465902464,False
6225,TSSC4,10078,NOT,0.2108255907095561,466.0,False,False,0.24611515606889994,False
6226,PVRL1,5818,NOT,7.556929455863566e-10,0.0,True,True,1.093136886055739e-08,False
6227,RPL39L,116832,NORMAL,8.031090907046913e-10,1.0,True,True,1.093136886055739e-08,False
6228,SIGLEC14,100049587,NOT,2.237331656308254e-09,5.0,True,True,1.5139014634831605e-08,False
6229,MARVELD3,91862,NOT,6.023629494981426e-09,35.0,True,True,3.1380639181484964e-08,False
6230,ZNF658,26149,NOT,0.29939695803744193,530.0,False,False,0.33901956280131157,False
6231,MAP6D1,79929,NORMAL,1.383114626082743e-09,10.0,True,True,1.150375790350476e-08,False
6232,PDIA4,9601,NOT,1.2265120486349766e-09,8.0,True,True,1.1075794898154324e-08,False
6233,NSD1,64324,NOT,0.2849191177528394,505.0,False,False,0.32426232025695373,False
6234,PCDHGA11,5098,NORMAL,1.2265120486349766e-09,8.0,True,True,1.1075794898154324e-08,False
6235,ZNF629,23361,NOT,0.45147387784321147,559.5,False,False,0.4938084867507584,False
6236,MRS2,57380,NOT,0.42327221109755275,532.0,False,False,0.4652896879866512,False
6237,GPR142,350383,NOT,0.14812339078284195,447.0,False,False,0.17754867997318863,False
6238,IL1R2,7850,NOT,0.011914077324997696,377.0,True,True,0.01680951370380065,False
6239,WTIP,126374,NOT,1.0115116071269476e-06,131.0,True,True,2.6189842645560584e-06,False
6240,XRN1,54464,NORMAL,0.0978155582114959,466.0,False,False,0.12074053362655174,False
6241,EDIL3,10085,NOT,2.6045288894507434e-07,104.0,True,True,7.664946603962793e-07,False
